UNINUMBR,YEAR,CERT,BRNUM
10140,2023,15908,0
10140,2024,15908,0
10143,2022,14843,46
10143,2023,14843,46
10143,2024,14843,46
10144,2022,15912,0
10144,2023,15912,0
10144,2024,15912,0
10145,2022,15913,0
10145,2023,15913,0
10145,2024,15913,0
10146,2022,12814,14
10146,2023,12814,14
10146,2024,12814,14
10147,2022,8387,1
10147,2023,8387,1
10147,2024,8387,1
10148,2022,12365,2
10148,2023,12365,2
10148,2024,12365,2
10152,2022,11063,538
10152,2023,11063,538
10152,2024,11063,538
10153,2022,28178,281
10154,2022,18448,3
10154,2023,18448,3
10154,2024,18448,3
10156,2022,12441,22
10156,2023,12441,22
10156,2024,12441,22
10158,2022,11813,647
10158,2023,11813,647
10158,2024,11813,647
10159,2022,3511,3678
10159,2023,3511,3678
10159,2024,3511,3678
1016,2022,1547,0
1016,2023,1547,0
1016,2024,1547,0
10160,2022,15928,0
10160,2023,15928,0
10160,2024,15928,0
10161,2022,33555,291
10161,2023,33555,291
10161,2024,33555,291
10162,2022,15930,0
10162,2023,15930,0
10162,2024,15930,0
10164,2022,15932,0
10164,2023,15932,0
10164,2024,15932,0
10167,2022,5826,35
10167,2023,5826,35
10167,2024,5826,35
10169,2022,17514,11
10169,2023,17514,11
10169,2024,17514,11
10170,2022,15939,0
10170,2023,15939,0
10170,2024,15939,0
10173,2022,9087,33
10173,2023,9087,33
10173,2024,9087,33
10176,2022,15945,0
10176,2023,15945,0
10176,2024,15945,0
10177,2022,3511,4234
10177,2023,3511,4234
10177,2024,3511,4234
10178,2022,15947,0
10178,2023,15947,0
10178,2024,15947,0
10181,2022,9064,5
10181,2023,9064,5
10181,2024,9064,5
10182,2022,588,1018
10182,2023,588,1018
10182,2024,588,1018
10184,2022,15953,0
10184,2023,15953,0
10184,2024,15953,0
10185,2022,17534,2051
10185,2023,17534,2051
10185,2024,17534,2051
10188,2022,588,981
10188,2023,588,981
10188,2024,588,981
10189,2022,16068,18
10189,2023,16068,18
10189,2024,16068,18
1019,2022,1550,0
1019,2023,1550,0
1019,2024,1550,0
10194,2022,588,120
10194,2023,588,120
10194,2024,588,120
10195,2022,17534,2011
10195,2023,17534,2011
10195,2024,17534,2011
10196,2022,588,620
10196,2023,588,620
10196,2024,588,620
10197,2022,15966,0
10197,2023,15966,0
10197,2024,15966,0
10198,2022,27503,3
10198,2023,27503,3
10198,2024,27503,3
10199,2022,17534,2028
10199,2023,17534,2028
10199,2024,17534,2028
102,2022,32737,9
102,2023,131,159
102,2024,131,159
1020,2022,4439,7
1020,2023,4439,7
1020,2024,4439,7
10200,2022,15969,0
10200,2023,15969,0
10200,2024,15969,0
10201,2022,15970,0
10201,2023,15970,0
10201,2024,15970,0
10204,2022,16068,75
10204,2023,16068,75
10204,2024,16068,75
10206,2022,6989,250
10206,2023,6989,250
10206,2024,6989,250
1021,2022,1552,0
1021,2023,1552,0
1021,2024,1552,0
10211,2022,588,615
10211,2023,588,615
10211,2024,588,615
10212,2022,3511,6912
10212,2023,3511,6912
10212,2024,3511,6912
10215,2022,16068,33
10215,2023,16068,33
10215,2024,16068,33
10217,2022,29950,1060
10217,2023,29950,1060
10217,2024,29950,1060
10218,2022,15987,0
10218,2023,15987,0
10218,2024,15987,0
10219,2022,18221,349
10219,2023,18221,349
10219,2024,18221,349
1022,2022,1553,0
1022,2023,1553,0
