UNINUMBR,YEAR,CERT,BRNUM
10345,2024,16130,0
10346,2022,31628,278
10346,2023,31628,278
10346,2024,31628,278
10348,2022,15478,4
10348,2023,15478,4
10348,2024,15478,4
10350,2022,11702,1
10350,2023,11702,1
10350,2024,11702,1
10351,2022,6548,1440
10351,2023,6548,1440
10351,2024,6548,1440
10352,2022,6548,1438
10352,2023,6548,1438
10352,2024,6548,1438
10353,2022,6548,1448
10353,2023,6548,1448
10353,2024,6548,1448
10356,2022,12010,30
10356,2023,12010,30
10356,2024,12010,30
10358,2022,3511,6712
10358,2023,3511,6712
10358,2024,3511,6712
10360,2022,588,1349
10360,2023,588,1349
10360,2024,588,1349
10363,2022,16151,0
10363,2023,16151,0
10363,2024,16151,0
10364,2022,16152,0
10364,2023,16152,0
10364,2024,16152,0
10365,2022,628,1373
10365,2023,628,1373
10365,2024,628,1373
10366,2022,16154,0
10366,2023,16154,0
10366,2024,16154,0
10367,2022,12368,861
10367,2023,12368,861
10367,2024,12368,861
10368,2022,6063,9
10368,2023,6063,9
10368,2024,6063,9
10369,2022,6672,1626
10369,2023,6672,1626
10369,2024,6672,1626
10370,2022,16160,0
10370,2023,16160,0
10370,2024,16160,0
10371,2022,16161,0
10371,2023,16161,0
10371,2024,16161,0
10372,2022,16162,0
10372,2023,16162,0
10372,2024,16162,0
10373,2022,9423,3
10373,2023,9423,3
10373,2024,9423,3
10374,2022,340,4
10374,2023,340,4
10374,2024,340,4
10375,2022,16167,0
10375,2023,16167,0
10375,2024,16167,0
10376,2022,17437,24
10376,2023,17437,24
10376,2024,17437,24
10377,2022,4214,8
10377,2023,4214,8
10377,2024,4214,8
10378,2022,19512,24
10378,2023,19512,24
10378,2024,19512,24
10379,2022,11124,82
10379,2023,11124,82
10379,2024,11124,82
1038,2022,57097,2
1038,2023,57097,2
1038,2024,57097,2
10381,2022,16175,0
10381,2023,16175,0
10381,2024,16175,0
10382,2022,16176,0
10382,2023,16176,0
10382,2024,16176,0
10383,2022,16177,0
10383,2023,16177,0
10383,2024,16177,0
10386,2022,5486,2
10386,2023,5486,2
10386,2024,5486,2
10387,2022,1373,22
10387,2023,1373,22
10387,2024,1373,22
10389,2022,16185,0
10389,2023,16185,0
10389,2024,16185,0
1039,2022,1014,8
1039,2023,1014,8
1039,2024,1014,8
10390,2022,59052,14
10390,2023,59052,14
10390,2024,59052,14
10391,2022,22559,28
10391,2023,22559,28
10391,2024,22559,28
10392,2022,8323,1
10392,2023,8323,1
10392,2024,8323,1
10393,2022,18429,34
10393,2023,18429,34
10393,2024,18429,34
10394,2022,16191,0
10394,2023,16191,0
10394,2024,16191,0
10396,2022,16193,0
10396,2023,16193,0
10396,2024,2286,8
104,2022,3511,7448
104,2023,3511,7448
104,2024,3511,7448
1040,2022,1596,0
1040,2023,1596,0
1040,2024,1596,0
10400,2022,16198,0
10400,2023,16198,0
10400,2024,16198,0
10401,2022,11813,424
10401,2023,11813,424
10402,2022,16201,0
10402,2023,16201,0
10402,2024,16201,0
10405,2022,16571,36
10405,2023,16571,36
10405,2024,16571,36
10406,2022,18610,8
10406,2023,18610,8
10406,2024,18610,8
10407,2022,5633,59
10407,2023,5633,59
10407,2024,5633,59
10408,2022,57813,5
10408,2023,57813,5
10408,2024,57813,5
10412,2022,13068,5
10412,2023,13068,5
10412,2024,13068,5
10414,2022,11063,869
10414,2023,11063,869
10414,2024,11063,869
10415,2022,16216,0
10415,2023,16216,0
10415,2024,16216,0
10416,2022,14079,6
10416,2023,14079,6
10416,2024,14079,6
10417,2022,3268,15
10417,2023,3268,15
10417,2024,3268,15
10418,2022,628,2309
10418,2023,628,2309
10418,2024,628,2309
1042,2022,6384,3108
1042,2023,6384,3108
1042,2024,6384,3108
10420,2022,16221,0
10420,2023,16221,0
10420,2024,16221,0
10421,2022,16222,0
10421,2023,16222,0
10421,2024,16222,0
10424,2022,20776,5
10424,2023,20776,5
10424,2024,20776,5
10426,2022,16228,0
10426,2023,16228,0
10426,2024,16228,0
10428,2022,16231,0
10428,2023,16231,0
10428,2024,16231,0
10429,2022,11669,3
10429,2023,11669,3
10429,2024,11669,3
1043,2022,16307,12
1043,2023,16307,12
1043,2024,16307,12
10430,2022,25291,2
10430,2023,25291,2
10430,2024,25291,2
10431,2022,3510,4535
10431,2023,3510,4535
10431,2024,3510,4535
10432,2022,3511,3918
10432,2023,3511,3918
10432,2024,3511,3918
10434,2022,6548,2223
10434,2023,6548,2223
10434,2024,6548,2223
10435,2022,25886,8
10435,2023,25886,8
10435,2024,25886,8
10436,2022,11063,1264
10436,2023,11063,1264
10436,2024,11063,1264
10437,2022,6560,2251
10437,2023,6560,2251
10437,2024,6560,2251
10438,2022,16243,0
10438,2023,16243,0
10438,2024,16243,0
10439,2022,3511,4898
10439,2023,3511,4898
10439,2024,3511,4898
1044,2022,1600,0
1044,2023,1600,0
1044,2024,1600,0
10440,2022,16246,0
10440,2023,16246,0
10440,2024,16246,0
10441,2022,16247,0
10441,2023,16247,0
10441,2024,16247,0
10442,2022,15734,1
10442,2023,15734,1
10442,2024,15734,1
10443,2022,16249,0
10443,2023,16249,0
10443,2024,16249,0
10444,2022,16250,0
10444,2023,16250,0
10444,2024,16250,0
10446,2022,628,2267
10446,2023,628,2267
10446,2024,628,2267
10448,2022,24966,5
10448,2023,24966,5
10448,2024,24966,5
1045,2022,1906,1
1045,2023,1906,1
1045,2024,1906,1
10455,2022,2138,2
10455,2023,2138,2
10455,2024,2138,2
10456,2022,19080,14
10456,2023,19080,14
10456,2024,19080,14
10457,2022,16265,0
10457,2023,16265,0
10457,2024,16265,0
10459,2022,30846,23
10459,2023,34217,114
10459,2024,34217,114
1046,2022,5252,1
1046,2023,5252,1
1046,2024,5252,1
10461,2022,6384,5076
10461,2023,6384,5076
10463,2022,11526,4
10463,2023,11526,4
10463,2024,11526,4
10464,2022,16275,0
10464,2023,16275,0
10464,2024,16275,0
10465,2022,16276,0
10465,2023,16276,0
10465,2024,16276,0
10467,2022,17842,25
10467,2023,17842,25
10467,2024,17842,25
10468,2022,58314,9
10468,2023,58314,9
10468,2024,58314,9
10469,2022,16281,0
10469,2023,16281,0
10469,2024,16281,0
1047,2022,15324,5
1047,2023,15324,5
1047,2024,15324,5
10470,2022,16282,0
10470,2023,16282,0
10470,2024,16282,0
10471,2022,16283,0
10471,2023,16283,0
10471,2024,16283,0
10472,2022,9846,3710
10472,2023,9846,3710
10472,2024,9846,3710
10474,2022,10576,2
10474,2023,10576,2
10474,2024,10576,2
10475,2022,7468,21
10475,2023,7468,21
10475,2024,7468,21
10476,2022,16288,0
10476,2023,16288,0
10476,2024,16288,0
1048,2022,1604,0
1048,2023,1604,0
1048,2024,1604,0
10480,2022,3511,4386
10480,2023,3511,4386
10480,2024,3511,4386
10482,2022,20504,1
10482,2023,20504,1
10482,2024,20504,1
10483,2022,5510,63
10483,2023,5510,63
10483,2024,5510,63
10484,2022,3832,616
10484,2023,3832,616
10484,2024,3832,616
10487,2022,8798,5
10487,2023,8798,5
10487,2024,8798,5
1049,2022,3511,4427
1049,2023,3511,4427
1049,2024,3511,4427
10490,2022,4977,63
10490,2023,4977,63
10490,2024,4977,63
10494,2022,16307,0
10494,2023,16307,0
10494,2024,16307,0
10495,2022,58316,23
10495,2023,58316,23
10495,2024,58316,23
10496,2022,3511,3661
10496,2023,3511,3661
10496,2024,3511,3661
10498,2022,14633,11
10498,2023,14633,11
10498,2024,14633,11
105,2022,3511,9010
105,2023,3511,9010
105,2024,3511,9010
1050,2022,1607,0
1050,2023,1607,0
1050,2024,1607,0
10500,2022,1900,12
10500,2023,1900,12
10500,2024,1900,12
10502,2022,4382,14
10504,2022,9463,12
10504,2023,9463,12
10504,2024,9463,12
10505,2022,16318,0
10505,2023,16318,0
10505,2024,16318,0
10506,2022,3511,7291
10506,2023,3511,7291
10506,2024,3511,7291
10507,2022,6672,1628
10507,2023,6672,1628
10507,2024,6672,1628
10508,2022,14247,5
10508,2023,14247,5
10508,2024,14247,5
10509,2022,6672,701
10509,2023,6672,701
10509,2024,6672,701
1051,2022,19254,4
1051,2023,19254,4
1051,2024,19254,4
10512,2022,31999,104
10512,2023,31999,104
10512,2024,31999,104
10513,2022,10460,6
10513,2023,10460,6
10513,2024,10460,6
10514,2022,16330,0
10514,2023,16330,0
10514,2024,16330,0
10515,2022,9846,3706
10515,2023,9846,3706
10515,2024,9846,3706
10516,2022,16332,0
10516,2023,16332,0
10516,2024,16332,0
10517,2022,16333,0
10517,2023,16333,0
10517,2024,16333,0
10518,2022,16334,0
10518,2023,16334,0
10518,2024,16334,0
10519,2022,18714,2
10519,2023,18714,2
10519,2024,18714,2
1052,2022,1609,0
1052,2023,1609,0
1052,2024,1609,0
10522,2022,9172,11
10522,2023,9172,11
10522,2024,9172,11
10523,2022,16339,0
10523,2023,16339,0
10523,2024,16339,0
10525,2022,6548,1307
10525,2023,6548,1307
10525,2024,6548,1307
10528,2022,16344,0
10528,2023,16344,0
10528,2024,16344,0
10529,2022,628,2345
1053,2022,1610,0
1053,2023,1610,0
1053,2024,1610,0
10531,2022,22319,5
10531,2023,22319,5
10531,2024,22319,5
10532,2022,3511,4267
10532,2023,3511,4267
10532,2024,3511,4267
10534,2022,6548,967
10534,2023,6548,967
10534,2024,6548,967
10536,2022,3511,4445
10536,2023,3511,4445
10536,2024,3511,4445
10537,2022,628,1358
10537,2023,628,1358
10537,2024,628,1358
10538,2022,8728,149
10538,2023,8728,149
10538,2024,8728,149
10539,2022,16216,12
10539,2023,16216,12
10539,2024,16216,12
1054,2022,1611,0
1054,2023,1611,0
1054,2024,1611,0
10540,2022,8798,6
10540,2023,8798,6
10540,2024,8798,6
10543,2022,4988,157
10543,2023,4988,157
10543,2024,4988,157
10545,2022,16363,0
10545,2023,16363,0
10545,2024,16363,0
10548,2022,5170,7
10548,2023,5170,7
10548,2024,5170,7
10549,2022,5452,45
10549,2023,5452,45
10549,2024,5452,45
1055,2022,1612,0
1055,2023,1612,0
1055,2024,1612,0
10551,2022,16369,0
10551,2023,16369,0
10551,2024,16369,0
10552,2022,16370,0
10552,2023,16370,0
10552,2024,16370,0
10554,2022,3510,5217
10554,2023,3510,5217
10554,2024,3510,5217
10557,2022,1040,120
10557,2023,1040,120
10557,2024,1040,120
10558,2022,11667,2
10558,2023,11667,2
10558,2024,11667,2
10559,2022,14327,4
10559,2023,14327,4
10559,2024,14327,4
1056,2022,12368,1353
1056,2023,12368,1353
1056,2024,12368,1353
10562,2022,6672,1625
10562,2023,6672,1625
10562,2024,6672,1625
10564,2022,57505,4
10564,2023,57505,4
10564,2024,57505,4
10565,2022,16386,0
10565,2023,16386,0
10565,2024,16386,0
10566,2022,5768,13
10566,2023,5768,13
10566,2024,5768,13
10567,2022,6548,1429
10567,2023,6548,1429
10567,2024,6548,1429
10568,2022,16389,0
10568,2023,16389,0
10568,2024,16389,0
10569,2022,16835,359
10569,2023,16835,359
10569,2024,16835,359
10570,2022,16111,3
10570,2023,16111,3
10570,2024,16111,3
10572,2022,16394,0
10572,2023,16394,0
10572,2024,16394,0
10573,2022,16395,0
10573,2023,16395,0
10573,2024,16395,0
10574,2022,16396,0
10574,2023,16396,0
10574,2024,16396,0
10575,2022,3514,467
10575,2023,16571,1390
10575,2024,16571,1390
10576,2022,5424,1
10576,2023,5424,1
10576,2024,5424,1
10577,2022,4365,163
10577,2023,4365,163
10577,2024,4365,163
10579,2022,16402,0
10579,2023,16402,0
10579,2024,16402,0
1058,2022,1616,0
1058,2023,1616,0
1058,2024,1616,0
10581,2022,4636,3
10581,2023,4636,3
10581,2024,4636,3
10585,2022,59052,152
10585,2023,59052,152
10585,2024,59052,152
10586,2022,16410,0
10586,2023,16410,0
10586,2024,16410,0
10587,2022,6548,613
10587,2023,6548,613
10587,2024,6548,613
10588,2022,16413,0
10588,2023,16413,0
10588,2024,16413,0
10589,2022,6811,19
10589,2023,6811,19
10589,2024,6811,19
1059,2022,1617,0
1059,2023,1617,0
1059,2024,1617,0
10591,2022,16416,0
10591,2023,16416,0
10591,2024,16416,0
10592,2022,16417,0
10592,2023,16417,0
10592,2024,16417,0
10593,2022,16418,0
10593,2023,16418,0
10593,2024,16418,0
10594,2022,14331,7
10594,2023,14331,7
10594,2024,14331,7
10595,2022,15932,12
10595,2023,15932,12
