airport_id,origin_codes,station_ids,unique_station_count,usable_assigned_days,minimum_month_usable_days,assignment_gap_days,assignment_ambiguous_days,weather_missing_days,weather_suspect_days,weather_erroneous_days,weather_ambiguous_days,weather_unparsed_days,usable_m01,usable_m02,usable_m03,usable_m04,usable_m05,usable_m06,usable_m07,usable_m08,usable_m09,usable_m10,usable_m11,usable_m12,stage_a_qualified
11111,COU,USW00003945,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11122,CPR,USW00024089,1,364,27,0,0,1,0,0,0,0,31,27,31,30,31,30,31,31,30,31,30,31,True
11140,CRP,USW00012924,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11146,CRW,USW00013866,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11193,CVG,USW00093814,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11233,CYS,USW00024018,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11259,DAL,USW00013960,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,30,31,31,29,31,30,31,True
11267,DAY,USW00093815,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11283,DDC,USW00013985,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11288,DEC,USW00003887,1,358,26,0,0,7,0,0,0,0,31,26,31,30,31,30,31,31,30,31,29,27,True
11292,DEN,USW00003017,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11298,DFW,USW00003927,1,363,28,0,0,2,0,0,0,0,31,28,31,30,31,30,30,31,29,31,30,31,True
11308,DHN,USW00013839,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,30,31,30,30,31,30,31,True
11315,DIK,USW00024012,1,340,21,0,0,25,0,0,0,0,31,22,30,26,31,30,31,31,30,31,26,21,True
11337,DLH,USW00014913,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11413,DRO,USW00093005,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11423,DSM,USW00014933,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11433,DTW,USW00094847,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11468,EAR,USW00014905,1,348,19,0,0,17,0,0,0,0,31,19,28,30,31,30,31,31,30,31,29,27,False
11470,EAT,USW00094239,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11471,EAU,USW00014991,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11481,ECP,USW00073805,1,356,23,0,0,9,0,0,0,0,31,28,31,30,31,30,31,23,30,30,30,31,True
11525,EKO,USW00024121,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11540,ELP,USW00023044,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11577,ERI,USW00014860,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11603,EUG,USW00024221,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11612,EVV,USW00093817,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11617,EWN,USW00093719,1,362,27,0,0,3,0,0,0,0,31,27,31,30,31,30,31,29,30,31,30,31,True
11618,EWR,USW00014734,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11624,EYW,USW00012836,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11637,FAR,USW00014914,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11638,FAT,USW00093193,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11641,FAY,USW00093740,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11695,FLG,USW00003103,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,30,31,31,29,31,30,31,True
11697,FLL,USW00012849,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,30,31,31,29,31,30,31,True
11699,FLO,USW00013744,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11721,FNT,USW00014826,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11775,FSD,USC00397666,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11778,FSM,USW00013964,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11823,FWA,USW00014827,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11867,GCK,USW00023064,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11884,GEG,USW00024157,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11905,GGG,USW00003901,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11921,GJT,USW00023066,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11953,GNV,USW00012816,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11973,GPT,USW00093874,1,361,28,0,0,4,0,0,0,0,31,28,29,30,31,30,31,30,29,31,30,31,True
